15:09:57.801 1139 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mifa.cloud.voice.server.TestOpenApi], using SpringBootContextLoader
15:10:32.610 5934 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'accountCapitalDetailDAO' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:10:32.621 5945 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'accountCapitalDAO' of type [org.mybatis.spring.mapper.MapperFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:10:32.723 6047 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$24fe6da4] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:10:32.857 6181 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$5e92af76] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:10:33.209 6533 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration' of type [org.springframework.cloud.netflix.metrics.MetricsInterceptorConfiguration$MetricsRestTemplateConfiguration$$EnhancerBySpringCGLIB$$90bf55b7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:10:33.245 6569 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$7aacb273] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:10:34.581 7905 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
15:10:34.600 7924 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
15:10:34.694 8018 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.0.12.Final}
15:10:34.696 8020 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
15:10:34.698 8022 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
15:10:34.786 8110 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
15:10:34.949 8273 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
15:10:35.229 8553 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
15:10:36.221 9545 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService  'taskExecutor'
15:10:39.075 12399 [main] INFO  o.s.b.t.m.w.SpringBootMockServletContext - jolokia: No access restrictor found, access to any MBean is allowed
15:10:40.141 13465 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/jx/call-back],methods=[POST]}" onto public void com.mifa.cloud.voice.server.controller.CallBackController.callBack(com.mifa.cloud.voice.server.api.jx.dto.CallBackV2Dto)
15:10:40.143 13467 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/call-job],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.CallJobController.alterCallJob(com.mifa.cloud.voice.server.commons.dto.CustomerCallJobDto)
15:10:40.143 13467 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/call-job],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.CallJobController.queryCallJob(java.lang.String,java.lang.Integer)
15:10:40.144 13468 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/call-job],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.CallJobController.addCallJob(com.mifa.cloud.voice.server.commons.dto.CustomerCallJobDto)
15:10:40.144 13468 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/call-job],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.CallJobController.delCallJob(java.lang.String,java.lang.Integer)
15:10:40.144 13468 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/call-job-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.ContactGroupRspDto>> com.mifa.cloud.voice.server.controller.CallJobController.queryJobList(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)
15:10:40.144 13468 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/call-job-detail-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.CustomerTaskCallDetailDto>> com.mifa.cloud.voice.server.controller.CallJobController.queryDetailList(com.mifa.cloud.voice.server.commons.dto.CallDetailQueryDto,java.lang.Integer,java.lang.Integer)
15:10:40.148 13472 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact-group],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.ContactsController.addContactGroup(java.lang.String,java.lang.String,java.lang.String,java.lang.Integer)
15:10:40.148 13472 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact-group],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.ContactsController.addContactGroup(com.mifa.cloud.voice.server.commons.dto.ContactGroupPostDto)
15:10:40.149 13473 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact-group],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.ContactsController.delContactGroup(java.lang.String,java.lang.Integer)
15:10:40.149 13473 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.ContactRspDto>> com.mifa.cloud.voice.server.controller.ContactsController.queryContactList(com.mifa.cloud.voice.server.commons.dto.ContactQueryDto,java.lang.Integer,java.lang.Integer)
15:10:40.149 13473 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact-group-select-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.util.List<com.mifa.cloud.voice.server.commons.dto.ContactGroupSelectDto>> com.mifa.cloud.voice.server.controller.ContactsController.queryContactList(java.lang.String)
15:10:40.149 13473 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact-group-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.ContactGroupRspDto>> com.mifa.cloud.voice.server.controller.ContactsController.queryContactList(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)
15:10:40.150 13474 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.ContactDto>> com.mifa.cloud.voice.server.controller.ContactsController.addContact(com.mifa.cloud.voice.server.commons.dto.ContactAlterReqDto)
15:10:40.150 13474 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.ContactDto>> com.mifa.cloud.voice.server.controller.ContactsController.addContact(com.mifa.cloud.voice.server.commons.dto.ContactDto)
15:10:40.150 13474 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/contact],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.ContactsController.delContact(java.lang.String,java.lang.Long,java.lang.Long)
15:10:40.152 13476 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/home-statistic],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.HomeStatisticRspDto> com.mifa.cloud.voice.server.controller.HomeController.homeStatistic(java.lang.String)
15:10:40.153 13477 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/role],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.RbacController.delRoles(java.util.List<java.lang.Long>)
15:10:40.154 13478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/role-resource-list],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse com.mifa.cloud.voice.server.controller.RbacController.alterfindRoleResourceList(com.mifa.cloud.voice.server.commons.dto.RoleResourcePostDto)
15:10:40.154 13478 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/role-resource-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.util.List<com.mifa.cloud.voice.server.commons.dto.ResourceDto>> com.mifa.cloud.voice.server.controller.RbacController.findRoleResourceList(java.lang.String,java.lang.String)
15:10:40.155 13479 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/role-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.util.List<com.mifa.cloud.voice.server.commons.dto.RoleDto>> com.mifa.cloud.voice.server.controller.RbacController.findRoleList(java.lang.String,com.mifa.cloud.voice.server.commons.enums.RoleEnum,com.mifa.cloud.voice.server.commons.enums.StatusEnum)
15:10:40.155 13479 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/role],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.RbacController.insertRole(com.mifa.cloud.voice.server.commons.dto.RolePostDto)
15:10:40.156 13480 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/role],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.RbacController.alterRole(com.mifa.cloud.voice.server.commons.dto.RolePostDto)
15:10:40.157 13481 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/menu],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.SystemManagerController.addMenu(java.util.List<com.mifa.cloud.voice.server.commons.dto.ResourceFunctionModelDto>)
15:10:40.157 13481 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/menu],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.SystemManagerController.alterMenu(java.util.List<com.mifa.cloud.voice.server.commons.dto.MenuDto>)
15:10:40.158 13482 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/menu],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.util.List<com.mifa.cloud.voice.server.commons.dto.MenuDto>> com.mifa.cloud.voice.server.controller.SystemManagerController.findMenuList(java.lang.Long,com.mifa.cloud.voice.server.commons.enums.StatusEnum)
15:10:40.160 13484 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.addTemplateVoice(com.mifa.cloud.voice.server.commons.dto.TemplateVoiceDto)
15:10:40.161 13485 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.VoiceTemplateRspDto>> com.mifa.cloud.voice.server.controller.TemplateVoiceController.queryTemplateVoiceList(com.mifa.cloud.voice.server.commons.dto.VoiceTemplateQuery,java.lang.Integer,java.lang.Integer)
15:10:40.161 13485 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.VoiceTemplateRspDto> com.mifa.cloud.voice.server.controller.TemplateVoiceController.queryTemplateVoice(java.lang.String,java.lang.String)
15:10:40.161 13485 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice-select-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.util.List<com.mifa.cloud.voice.server.commons.dto.VoiceTemplateSelectDto>> com.mifa.cloud.voice.server.controller.TemplateVoiceController.queryTemplateVoiceSelectList(com.mifa.cloud.voice.server.commons.dto.VoiceTemplateSelectQueryDto)
15:10:40.162 13486 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.delTemplateVoiceList(java.lang.String,java.lang.String)
15:10:40.162 13486 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.alterTemplateVoice(com.mifa.cloud.voice.server.commons.dto.VoiceTemplateAlterReqDto)
15:10:40.163 13487 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice-admin],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.alterTemplateVoiceByAdmin(com.mifa.cloud.voice.server.commons.dto.VoiceTemplateAdminAlterReqDto)
15:10:40.163 13487 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/template-voice-test],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.testTemplateVoice(com.mifa.cloud.voice.server.commons.dto.VoiceTemplateOpenDto)
15:10:40.163 13487 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/business-type-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.SystemKeyValueVO>> com.mifa.cloud.voice.server.controller.TemplateVoiceController.getBusinessTypeList(com.mifa.cloud.voice.server.commons.dto.SystemKeyValueQueryDTO,java.lang.Integer,java.lang.Integer)
15:10:40.164 13488 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/business-type],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.addBusinessType(com.mifa.cloud.voice.server.commons.dto.BusinessTyeAddDTO)
15:10:40.165 13489 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/business-type],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.editBusinessType(com.mifa.cloud.voice.server.commons.dto.SystemKeyValueEditDTO)
15:10:40.165 13489 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/business-type],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.TemplateVoiceController.deleteBusinessType(java.lang.Long)
15:10:40.165 13489 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/business-type-detail],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.SystemKeyValueVO> com.mifa.cloud.voice.server.controller.TemplateVoiceController.getBusinessType(java.lang.Long)
15:10:40.166 13490 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/voiceTemplate-autid-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.VoiceTemplateAuditVO>> com.mifa.cloud.voice.server.controller.TemplateVoiceController.getVoiceTemplateAutidList(com.mifa.cloud.voice.server.commons.dto.VoiceTemplateAuditQuery,java.lang.Integer,java.lang.Integer)
15:10:40.169 13493 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/upload-file],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.UploadFileVO> com.mifa.cloud.voice.server.controller.common.UpDownFileController.uploadFileCompress(org.springframework.web.multipart.MultipartFile,com.mifa.cloud.voice.server.commons.enums.FileTypeEnums,com.mifa.cloud.voice.server.commons.enums.BizTypeEnums,java.lang.String,java.lang.String) throws java.lang.Exception
15:10:40.169 13493 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/download-file],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.DownLoadFileVO> com.mifa.cloud.voice.server.controller.common.UpDownFileController.downLoadFile(com.mifa.cloud.voice.server.commons.enums.FileTypeEnums,com.mifa.cloud.voice.server.commons.enums.BizTypeEnums)
15:10:40.171 13495 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/img-auth-code/],methods=[GET]}" onto public void com.mifa.cloud.voice.server.controller.common.VerficationCodeController.imageVerficationCode(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
15:10:40.171 13495 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/mobile-auth-code/],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.common.VerficationCodeController.mobileVerficationCode(com.mifa.cloud.voice.server.commons.dto.MobileVerficationCodeDTO)
15:10:40.171 13495 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/auth-code/mobile],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.common.VerficationCodeController.verifyMobileCode(com.mifa.cloud.voice.server.commons.dto.MobileAuthCodeVerifyDTO)
15:10:40.172 13496 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/auth-code/img],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.common.VerficationCodeController.retrievePasswordVerifyImgCode(com.mifa.cloud.voice.server.commons.dto.UserPwdImgCodeDTO)
15:10:40.172 13496 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/open-api/voice/api/v1/voice-notify],methods=[POST]}" onto public void com.mifa.cloud.voice.server.controller.openapi.OpenApiController.sendVoiceNotify(com.mifa.cloud.voice.server.commons.dto.OpenApiVoiceReqDto,org.apache.catalina.servlet4preview.http.HttpServletRequest)
15:10:40.174 13498 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/keyValue],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.system.SystemKeyValueController.insertKeyValue(com.mifa.cloud.voice.server.commons.dto.SystemKeyValueDTO)
15:10:40.174 13498 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/keyValue],methods=[DELETE]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.system.SystemKeyValueController.deleteKeyValueById(java.lang.Long)
15:10:40.174 13498 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/keyValue-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.util.List<com.mifa.cloud.voice.server.commons.dto.SystemkeyValueTypeVO>> com.mifa.cloud.voice.server.controller.system.SystemKeyValueController.getKeyValueListByType(java.lang.String,java.lang.String)
15:10:40.175 13499 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/authAudit-list],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.CustomerAuthAuditVO>> com.mifa.cloud.voice.server.controller.user.CustomerAuthAuditController.getAuthCheckList(com.mifa.cloud.voice.server.commons.dto.AuthCheckListDTO,java.lang.Integer,java.lang.Integer)
15:10:40.175 13499 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/customerRecharge-list],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.PageDto<com.mifa.cloud.voice.server.commons.dto.CustomerRechargeVO>> com.mifa.cloud.voice.server.controller.user.CustomerRechargeController.getRechargeList(java.lang.String,java.lang.String,java.lang.Integer,java.lang.Integer)
15:10:40.176 13500 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/user-logout],methods=[GET]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Boolean> com.mifa.cloud.voice.server.controller.user.LoginController.logout(javax.servlet.http.HttpServletRequest)
15:10:40.177 13501 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/user-login],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<com.mifa.cloud.voice.server.commons.dto.UserLoginVO> com.mifa.cloud.voice.server.controller.user.LoginController.login(com.mifa.cloud.voice.server.commons.dto.UserLoginDTO,javax.servlet.http.HttpServletRequest)
15:10:40.177 13501 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/api/v1/user],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.user.RegisterController.register(com.mifa.cloud.voice.server.commons.dto.UserRegisterDTO)
15:10:40.180 13504 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/person],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.user.UserAuthController.authPersion(com.mifa.cloud.voice.server.commons.dto.AuthPersionDTO)
15:10:40.180 13504 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/company],methods=[POST]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.user.UserAuthController.authCompany(com.mifa.cloud.voice.server.commons.dto.AuthCompanyDTO)
15:10:40.180 13504 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/person-check/],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.user.UserAuthController.authPersonCheck(com.mifa.cloud.voice.server.commons.dto.AuthCheckDTO)
15:10:40.180 13504 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/voice-cloud/auth/api/v1/company-check],methods=[PUT]}" onto public com.mifa.cloud.voice.server.commons.dto.CommonResponse<java.lang.Void> com.mifa.cloud.voice.server.controller.user.UserAuthController.authCompanyCheck(com.mifa.cloud.voice.server.commons.dto.AuthCheckDTO)
